,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,\N,\N,386142,323800,313839,212301,384203,386553,312916,324668,213929,382046,40071,40073,808772,140478,482731,426224,600630,470556,301221,467956,687806,\N,\N,303592,\N,\N,\N,337998,\N,\N,428963,292393,199581,223588,\N,343986,804395,139480,581535,341097,202919,584221,\N,731988,340243,446146,481529,425327,\N,\N,342261,599809,733544,757551,470229,277316,443362,394504,688640,427683,226952,344962,340987,756021,395863,469405,283037,453529,457234,\N,\N,\N,\N,\N,\N,\N,4139322,2335611,2886242,3405058,1289882,1387361,487877,1379811,2524601,2933372,\N,\N,\N,\N,\N,397528,\N,\N,\N,260442,\N,\N
1,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20508,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,659450,\N,\N,658304,\N,\N,\N,252041,582106,358691,\N,\N,485931,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,253090,582465,\N,\N,\N,804966,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,359585,\N
2,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20508,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20508,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,109189,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,804658,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,109189,\N,\N,\N,\N,\N,\N,485399,\N,\N,\N,\N,\N,\N
3,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,109189,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,397220,\N,\N,397528,\N,\N,\N,\N,\N,\N,\N,\N,\N,5288778,\N
4,\N,\N,\N,\N,\N,1233703,200621,1357300,824263,752597,665372,1059003,561341,265246,673335,642936,1323058,1756692,709444,1574621,361356,1171604,1230776,197288,819495,748755,1712058,661333,1057188,90543,557059,262646,2143359,670769,635019,2141443,1319428,1178371,604479,1830430,1894346,1705708,2143844,2142904,602717,1894674,706436,1574071,90788,359747,1170300,166862,131388,52171,62491,290467,339126,353523,255652,430181,360332,445400,406361,468994,437741,170007,290067,257162,430775,117612,207651,147681,194017,299320,257685,443763,209967,130528,288786,96625,360419,445387,359711,370790,378204,406346,52395,114967,303157,204811,370579,338118,63139,147957,99849,382174,212755,352349,468822,354083
5,190415,296666,254596,437620,440663,209780,302903,213767,345894,227584,209519,226417,209315,\N,\N,\N,905045,115676,274161,1013388,1300206,2155763,679901,180180,515391,274284,888212,1254292,607115,402243,416567,540058,5485348,5828020,1221395,536332,397237,1299094,\N,1056813,1202795,1248028,2916164,1906313,346245,2841714,2250152,\N,787017,1813378,2663654,1621604,167235,950188,198499,257821,1222722,578949,2739290,4701862,2277248,1481951,374077,808818,792728,319727,1080242,875370,613483,1192020,1063961,1297125,1394058,1279769,211325,647292,1061094,1110812,1441193,3264098,1440253,1464752,797988,1263132,1488533,722112,1362951,5794582,719177,2879518,349615,4830949,341776,\N,\N,642158,2417477,\N,1611037,4965399
6,514306,4264694,952002,898454,646151,4825382,4912646,506026,509127,875745,1239201,716618,833869,628997,725144,1070133,619326,891446,649856,1546394,627311,1788899,702148,2223622,336652,\N,1756674,1156177,158592,3666094,168360,784839,1622364,993989,753821,581097,684260,545370,949785,1309525,1019319,451015,564344,1231526,379281,327233,840399,1757604,951978,1049549,1377884,382828,838260,1916223,780043,2014702,563143,705579,313019,905855,274227,1254624,\N,396184,\N,1910224,168116,950259,1219267,612585,649578,1356716,1232083,1069690,700598,4307490,169239,755748,\N,546913,452349,327522,839682,698771,433955,4475572,757167,4479416,769959,762700,645292,2500527,1672057,1706890,994493,\N,450255,992824,243546,\N
7,1152736,197944,\N,\N,\N,727497,1023255,\N,167755,135285,406938,1066119,670730,\N,601161,1673224,350234,950277,985391,604981,1032503,3537831,3909432,660162,1039505,\N,5234514,1214159,327070,\N,1579383,874356,789548,984466,3150075,654184,1401538,1187358,1364817,\N,923485,1872913,1153528,307257,\N,375704,1848813,1255051,543766,1079298,4435334,418719,571647,854442,3289127,731642,\N,900743,\N,1290462,1508395,255233,476158,319136,1165521,1148197,3830389,1981460,407680,739971,766411,4546952,4348817,4059218,5418691,\N,3286644,4370252,1017257,1171743,\N,\N,1184312,729750,944873,254332,395449,\N,893271,1544568,1474695,1562230,1220225,699748,649289,1716793,911107,3644416,891155,1876190
8,615232,766569,3024111,1287262,257179,1129879,922818,625848,655117,753796,834669,1528059,1096487,1802814,515656,951949,407736,768769,760000,760050,1578925,1001916,500014,877330,275998,890449,604978,575855,1077490,1193184,1062699,713304,834130,619716,785461,577873,951978,842790,647604,649288,583120,838070,761322,2171474,1647797,821870,520002,1667508,518730,779597,921710,422707,1144711,584994,948899,457279,1567013,1119752,389091,3953159,4324760,396093,1629486,1735519,1389128,1414830,758126,1702130,1780204,1765078,703450,\N,524897,1858123,1152635,309220,1594070,4506996,211030,3704455,424249,1545054,647050,864983,432156,630226,1662968,4265143,922451,979481,1532029,1332558,616757,1411017,1459645,808570,1537582,1727699,951766,770251
9,2504849,1216961,1696465,\N,3311404,1594103,2777504,1412697,2131175,274647,1015128,180229,516461,1539720,541076,1300992,347393,2729614,1066186,1598718,1280987,1109598,\N,\N,2867063,512265,904978,719041,2222819,2946939,1623977,\N,\N,1313023,1758600,1380525,1917323,313496,1673359,1714291,1288829,1128983,921715,684164,1727910,3115020,1155657,1528236,3118865,1581698,2170692,1213444,1345040,1175372,1841424,998566,1254945,2504923,\N,1716708,2481477,2113274,\N,1336896,431500,1597174,791916,1740065,241742,\N,1469567,931226,1006383,\N,1739816,\N,1837463,1541368,2931014,\N,432613,1084019,2144718,400434,\N,568181,1387333,694892,1644639,2550791,573572,1927792,272371,2322273,493190,591293,1429595,665390,2549851,\N
10,\N,3873962,544770,715492,\N,534900,\N,888904,1792452,774270,1837543,840827,1062688,764085,2141531,1602758,1311750,1754597,500157,968440,1594917,1569291,826292,938059,1746655,\N,\N,\N,315445,1048634,2232729,1492992,2230557,1811634,2036801,3231568,2372731,1693726,1293263,1977199,\N,1071008,2121742,4842939,2025838,1658448,1653270,1924941,2096862,2644353,785244,2019782,\N,1010023,3139295,2174892,454778,1684205,\N,1370214,3365337,2738777,666371,325125,2688565,2606190,4058139,419192,\N,1971332,1434900,2760212,2292600,1185500,201424,1021694,1369023,1816459,1263960,429941,1507947,320445,185622,1389825,1164099,533559,3255647,2746401,3569269,3000840,2216683,1381853,1343630,705085,1713512,1657662,1175012,547686,2243487,991583
11,826916,1853744,988235,2209945,452046,930079,3183713,916488,409629,998850,1327284,2388069,698736,681709,1402382,193681,1253437,489752,450226,996357,2504669,\N,\N,2050883,1290586,\N,147712,3857039,4592195,254942,1719166,1018345,2480483,367185,963078,242222,518139,231079,1153192,1665865,2112368,2227179,\N,1875015,3773315,198368,457966,1339807,896199,428894,1597369,291905,790732,2236645,239373,1467972,939387,726091,548660,1022226,929750,312471,1005512,\N,1738872,318963,164167,517491,1832931,911704,1302660,726641,134805,776445,1538519,985596,406108,918781,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,430412,1071389,427615,1343924,222744,670982,1143938,1085483,984634,\N,296476,\N
12,671145,2146885,\N,4300171,\N,1725670,1670019,399205,\N,2538287,\N,1923940,1705430,2482927,1909740,568101,1147547,348400,581891,976103,791041,949073,949124,1387230,1210942,3337504,1937108,335383,1066404,2717199,304350,457998,253126,387115,987500,1568768,695093,606894,1119567,1642530,590667,1757431,1328717,\N,\N,\N,2842117,\N,\N,1440981,344511,336604,\N,\N,781802,1032873,908442,5464819,1097224,389100,2549755,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1208054,4108569,4549416,\N,\N,\N,\N,\N,1774398,2087399,\N,\N,1329504,594861,\N,\N,3921707,671619,817425,4482395,\N,4631113,4720050,6407938,\N,\N,\N,1844915,\N
13,627335,3875141,818183,\N,571728,462978,\N,\N,\N,\N,462897,1229091,3537477,3953081,1928055,4110699,453529,\N,\N,4070561,2823096,4008013,486557,2338048,2039708,2083241,3622510,271401,1305956,5481839,2248886,4709523,3267755,\N,4835049,3913245,3647733,4328850,1698542,2320754,\N,1326450,1404551,369891,2565621,\N,\N,\N,4302875,2535323,3340540,4556945,\N,457234,\N,\N,\N,\N,4075359,\N,2974392,1125909,4424439,502027,517844,\N,\N,\N,2166548,3269343,4319708,1575593,4403095,629985,3917658,\N,\N,1353354,4122228,765575,1385484,199662,1818098,611437,561224,1919007,1146554,643234,2974901,711206,\N,817406,2504173,2784294,2058709,2529487,4068756,493726,588530,653064
14,1429730,621277,663968,1439064,338993,564366,1040439,886944,998978,396665,2547839,982055,911565,977829,2005851,2094965,1312820,602426,1986905,191794,650121,824991,575942,763512,1221592,1570215,1184935,2102729,598443,801498,1603071,608507,1845576,\N,\N,\N,\N,1212763,1628367,543681,2007526,1036010,715446,427833,325572,535670,1580193,1735569,887940,823075,1852848,1956415,2934776,872419,1385092,1793319,\N,1772303,4082813,\N,369353,1908130,1594243,3454266,3935432,4971025,2080165,628699,790102,1095699,176331,983832,1413939,775350,1667474,896136,840548,1122666,653241,1059788,764010,1027465,1405403,761630,556758,\N,\N,1058467,\N,\N,\N,2274410,\N,1297604,1466942,\N,2411859,\N,1755741,4562474
